            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2457952.500000000, A.D. 2017-Jul-18 00:00:00.0000, -5.463199682860851E+07, -3.497135648144073E+07,  2.154354770556685E+06,
2457953.500000000, A.D. 2017-Jul-19 00:00:00.0000, -5.313003371210717E+07, -3.826591879039761E+07,  1.747357435387453E+06,
2457954.500000000, A.D. 2017-Jul-20 00:00:00.0000, -5.144074593724088E+07, -4.142563212338790E+07,  1.334193727174291E+06,
2457955.500000000, A.D. 2017-Jul-21 00:00:00.0000, -4.957467407270120E+07, -4.444304360147520E+07,  9.164396345153116E+05,
2457956.500000000, A.D. 2017-Jul-22 00:00:00.0000, -4.754222939243791E+07, -4.731136372724192E+07,  4.956050780474469E+05,
2457957.500000000, A.D. 2017-Jul-23 00:00:00.0000, -4.535368806871366E+07, -5.002440111790308E+07,  7.313871082917601E+04,
2457958.500000000, A.D. 2017-Jul-24 00:00:00.0000, -4.301919089548296E+07, -5.257650383436254E+07, -3.495673128938563E+05,
2457959.500000000, A.D. 2017-Jul-25 00:00:00.0000, -4.054874752560281E+07, -5.496250690147144E+07, -7.711726607214101E+05,
2457960.500000000, A.D. 2017-Jul-26 00:00:00.0000, -3.795224439192018E+07, -5.717768560764126E+07, -1.190384279416550E+06,
2457961.500000000, A.D. 2017-Jul-27 00:00:00.0000, -3.523945563942791E+07, -5.921771418308974E+07, -1.605952015488595E+06,
2457962.500000000, A.D. 2017-Jul-28 00:00:00.0000, -3.242005652722603E+07, -6.107862947966754E+07, -2.016664417886831E+06,
2457963.500000000, A.D. 2017-Jul-29 00:00:00.0000, -2.950363886852297E+07, -6.275679930730356E+07, -2.421344734227736E+06,
2457964.500000000, A.D. 2017-Jul-30 00:00:00.0000, -2.649972816755317E+07, -6.424889511968640E+07, -2.818847106733400E+06,
2457965.500000000, A.D. 2017-Jul-31 00:00:00.0000, -2.341780218686712E+07, -6.555186878286018E+07, -3.208052970572319E+06,
2457966.500000000, A.D. 2017-Aug-01 00:00:00.0000, -2.026731073934870E+07, -6.666293320363113E+07, -3.587867655238330E+06,
