            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000,  4.267389393409686E+09, -1.362362809860289E+09, -7.029530099281812E+07,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000,  4.267529599569103E+09, -1.361913555855768E+09, -7.030780148269582E+07,
2457952.500000000, A.D. 2017-Jul-18 00:00:00.0000,  4.267669765015977E+09, -1.361464227660415E+09, -7.032025136005867E+07,
2457953.500000000, A.D. 2017-Jul-19 00:00:00.0000,  4.267809945182829E+09, -1.361014836609567E+09, -7.033270485036808E+07,
2457954.500000000, A.D. 2017-Jul-20 00:00:00.0000,  4.267950132450078E+09, -1.360565442833112E+09, -7.034521164633226E+07,
2457955.500000000, A.D. 2017-Jul-21 00:00:00.0000,  4.268090264054214E+09, -1.360116092834981E+09, -7.035776531499124E+07,
2457956.500000000, A.D. 2017-Jul-22 00:00:00.0000,  4.268230287243880E+09, -1.359666771221527E+09, -7.037030997624230E+07,
2457957.500000000, A.D. 2017-Jul-23 00:00:00.0000,  4.268370214044177E+09, -1.359217416689696E+09, -7.038279831920654E+07,
2457958.500000000, A.D. 2017-Jul-24 00:00:00.0000,  4.268510108766682E+09, -1.358767985684491E+09, -7.039524072494227E+07,
2457959.500000000, A.D. 2017-Jul-25 00:00:00.0000,  4.268650021231745E+09, -1.358318497629799E+09, -7.040769448766410E+07,
2457960.500000000, A.D. 2017-Jul-26 00:00:00.0000,  4.268789935038667E+09, -1.357869014769952E+09, -7.042020432681942E+07,
2457961.500000000, A.D. 2017-Jul-27 00:00:00.0000,  4.268929784591550E+09, -1.357419577555280E+09, -7.043275595822489E+07,
2457962.500000000, A.D. 2017-Jul-28 00:00:00.0000,  4.269069523197067E+09, -1.356970162655289E+09, -7.044529092350245E+07,
2457963.500000000, A.D. 2017-Jul-29 00:00:00.0000,  4.269209171540747E+09, -1.356520707187984E+09, -7.045776728428173E+07,
2457964.500000000, A.D. 2017-Jul-30 00:00:00.0000,  4.269348796205940E+09, -1.356071174017227E+09, -7.047020316659462E+07,
2457965.500000000, A.D. 2017-Jul-31 00:00:00.0000,  4.269488440538843E+09, -1.355621590319422E+09, -7.048265794081962E+07,
2457966.500000000, A.D. 2017-Aug-01 00:00:00.0000,  4.269628079641886E+09, -1.355172019376207E+09, -7.049517057831222E+07,
2457967.500000000, A.D. 2017-Aug-02 00:00:00.0000,  4.269767646222222E+09, -1.354722494883650E+09, -7.050771919086844E+07,
2457968.500000000, A.D. 2017-Aug-03 00:00:00.0000,  4.269907100452256E+09, -1.354272985977535E+09, -7.052024375466281E+07,
2457969.500000000, A.D. 2017-Aug-04 00:00:00.0000,  4.270046471319070E+09, -1.353823429284786E+09, -7.053270843040031E+07,
2457970.500000000, A.D. 2017-Aug-05 00:00:00.0000,  4.270185826525026E+09, -1.353373794731022E+09, -7.054513877526772E+07,
2457971.500000000, A.D. 2017-Aug-06 00:00:00.0000,  4.270325202191937E+09, -1.352924116775214E+09, -7.055759520709211E+07,
2457972.500000000, A.D. 2017-Aug-07 00:00:00.0000,  4.270464565356845E+09, -1.352474458641111E+09, -7.057011027388853E+07,
2457973.500000000, A.D. 2017-Aug-08 00:00:00.0000,  4.270603848194445E+09, -1.352024846687105E+09, -7.058265486249483E+07,
2457974.500000000, A.D. 2017-Aug-09 00:00:00.0000,  4.270743018431669E+09, -1.351575243048696E+09, -7.059516842341971E+07,
2457975.500000000, A.D. 2017-Aug-10 00:00:00.0000,  4.270882112854656E+09, -1.351125584958465E+09, -7.060762183760363E+07,
2457976.500000000, A.D. 2017-Aug-11 00:00:00.0000,  4.271021199112446E+09, -1.350675849924592E+09, -7.062004765058047E+07,
2457977.500000000, A.D. 2017-Aug-12 00:00:00.0000,  4.271160305477592E+09, -1.350226079092681E+09, -7.063250628092515E+07,
2457978.500000000, A.D. 2017-Aug-13 00:00:00.0000,  4.271299391492467E+09, -1.349776334534701E+09, -7.064502328932089E+07,
