            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000,  1.535447559325767E+09, -4.749353755338820E+09,  6.389126570491219E+07,
2457952.500000000, A.D. 2017-Jul-18 00:00:00.0000,  1.535905651443272E+09, -4.749308484747398E+09,  6.375229642993355E+07,
2457953.500000000, A.D. 2017-Jul-19 00:00:00.0000,  1.536362333610274E+09, -4.749264248851588E+09,  6.361404430111837E+07,
2457954.500000000, A.D. 2017-Jul-20 00:00:00.0000,  1.536818254313653E+09, -4.749219710774940E+09,  6.347752155247712E+07,
2457955.500000000, A.D. 2017-Jul-21 00:00:00.0000,  1.537274731741395E+09, -4.749173768043469E+09,  6.334219748537993E+07,
2457956.500000000, A.D. 2017-Jul-22 00:00:00.0000,  1.537732577704315E+09, -4.749126536921648E+09,  6.320647080594110E+07,
2457957.500000000, A.D. 2017-Jul-23 00:00:00.0000,  1.538191372500029E+09, -4.749079249060625E+09,  6.306909915286875E+07,
2457958.500000000, A.D. 2017-Jul-24 00:00:00.0000,  1.538649840108041E+09, -4.749033151644588E+09,  6.293030781062460E+07,
2457959.500000000, A.D. 2017-Jul-25 00:00:00.0000,  1.539106986855021E+09, -4.748988395208323E+09,  6.279158747345781E+07,
2457960.500000000, A.D. 2017-Jul-26 00:00:00.0000,  1.539562986893967E+09, -4.748943900058771E+09,  6.265436495724750E+07,
2457961.500000000, A.D. 2017-Jul-27 00:00:00.0000,  1.540019027310321E+09, -4.748898318494269E+09,  6.251873108548236E+07,
2457962.500000000, A.D. 2017-Jul-28 00:00:00.0000,  1.540476249717960E+09, -4.748851237201504E+09,  6.238335845076203E+07,
2457963.500000000, A.D. 2017-Jul-29 00:00:00.0000,  1.540934730822853E+09, -4.748803546948637E+09,  6.224668578017163E+07,
2457964.500000000, A.D. 2017-Jul-30 00:00:00.0000,  1.541393414104659E+09, -4.748756647101141E+09,  6.210831188615274E+07,
2457965.500000000, A.D. 2017-Jul-31 00:00:00.0000,  1.541851053238670E+09, -4.748711196888258E+09,  6.196935257638645E+07,
2457966.500000000, A.D. 2017-Aug-01 00:00:00.0000,  1.542307323176603E+09, -4.748666528358786E+09,  6.183144488977647E+07,
2457967.500000000, A.D. 2017-Aug-02 00:00:00.0000,  1.542763109867867E+09, -4.748621241790265E+09,  6.169528789420485E+07,
2457968.500000000, A.D. 2017-Aug-03 00:00:00.0000,  1.543219720867912E+09, -4.748574453747903E+09,  6.156001838717818E+07,
2457969.500000000, A.D. 2017-Aug-04 00:00:00.0000,  1.543677718318939E+09, -4.748526586248637E+09,  6.142398023401403E+07,
2457970.500000000, A.D. 2017-Aug-05 00:00:00.0000,  1.544136416840596E+09, -4.748478990169482E+09,  6.128620307129192E+07,
2457971.500000000, A.D. 2017-Aug-06 00:00:00.0000,  1.544594495943060E+09, -4.748432739161689E+09,  6.114726780734372E+07,
2457972.500000000, A.D. 2017-Aug-07 00:00:00.0000,  1.545051177921837E+09, -4.748387672653717E+09,  6.100878730386519E+07,
2457973.500000000, A.D. 2017-Aug-08 00:00:00.0000,  1.545506920801161E+09, -4.748342539410757E+09,  6.087196852004170E+07,
2457974.500000000, A.D. 2017-Aug-09 00:00:00.0000,  1.545963010527547E+09, -4.748296112734805E+09,  6.073653604518032E+07,
2457975.500000000, A.D. 2017-Aug-10 00:00:00.0000,  1.546420413972539E+09, -4.748248285366738E+09,  6.060097655153704E+07,
2457976.500000000, A.D. 2017-Aug-11 00:00:00.0000,  1.546878915356346E+09, -4.748200165844312E+09,  6.046388955777240E+07,
2457977.500000000, A.D. 2017-Aug-12 00:00:00.0000,  1.547337309287549E+09, -4.748153088510529E+09,  6.032523756507874E+07,
2457978.500000000, A.D. 2017-Aug-13 00:00:00.0000,  1.547794476702321E+09, -4.748107423257528E+09,  6.018637827461672E+07,
2457979.500000000, A.D. 2017-Aug-14 00:00:00.0000,  1.548250382224686E+09, -4.748062246464755E+09,  6.004885358245373E+07,
2457980.500000000, A.D. 2017-Aug-15 00:00:00.0000,  1.548706105906011E+09, -4.748016164136518E+09,  5.991301506605124E+07,
2457981.500000000, A.D. 2017-Aug-16 00:00:00.0000,  1.549162880520910E+09, -4.747968555262691E+09,  5.977770929354548E+07,
2457982.500000000, A.D. 2017-Aug-17 00:00:00.0000,  1.549620990946652E+09, -4.747920126899026E+09,  5.964130658287835E+07,
2457983.500000000, A.D. 2017-Aug-18 00:00:00.0000,  1.550079519808861E+09, -4.747872282841111E+09,  5.950315612236667E+07,
2457984.500000000, A.D. 2017-Aug-19 00:00:00.0000,  1.550537166882699E+09, -4.747825870626781E+09,  5.936416587908149E+07,
2457985.500000000, A.D. 2017-Aug-20 00:00:00.0000,  1.550993408502943E+09, -4.747780426467542E+09,  5.922599188012123E+07,
2457986.500000000, A.D. 2017-Aug-21 00:00:00.0000,  1.551448964180275E+09, -4.747734588846054E+09,  5.908956206524110E+07,
2457987.500000000, A.D. 2017-Aug-22 00:00:00.0000,  1.551905155695072E+09, -4.747687312255747E+09,  5.895424818287182E+07,
